Timestamp,City,State,Shape,Duration,Summary,Posted,Images,Updated_Duration,Coords,Lat,Lng,geometry
2021-09-04 15:53:00,Eads,TN,Other,,MADAR Node 32,2021-10-19,0,1.0,"(-89.65079498, 35.20466995)",-89.65079498,35.20466995,POINT (-89.65079498 35.20466995)
2021-09-04 12:45:00,Rio Vista,CA,Diamond,4:00,It was about 1 in the afternoon going through Taco Bell looking up over Dodge dealership and seeing 7 tiny diamond shaped objects at fi,2021-09-07,0,1.0,"(-121.69255829, 38.16062927)",-121.69255829,38.16062927,POINT (-121.69255829 38.16062927)
2021-09-04 10:31:00,Littlerock,AR,Other,,MADAR Node 56,2021-10-19,0,1.0,"(-92.27510834, 34.74874496)",-92.27510834,34.74874496,POINT (-92.27510834 34.74874496)
2021-09-04 03:15:00,Bowie,MD,Triangle,2.5 hours,Bright light floating around,2021-09-07,0,150.0,"(-76.73027802, 38.9435463)",-76.73027802,38.9435463,POINT (-76.73027802 38.9435463)
2021-09-04 01:00:00,Jacksonville,FL,Triangle,10 seconds,"I'm standing outside smoking a wine black n mild..looking up @the stars,as always..to my upper right,I see somewhat of a V-shaped craft",2021-09-07,0,0.16666666666666666,"(-81.65676117, 30.32596779)",-81.65676117,30.32596779,POINT (-81.65676117 30.32596779)
2021-09-04 00:19:00,Elizabeth,CO,Other,,MADAR Node 34,2021-10-19,0,1.0,"(-104.60100555, 39.35962296)",-104.60100555,39.35962296,POINT (-104.60100555 39.35962296)
2021-09-04 00:00:00,Pepperell,MA,Sphere,Fast,I have been seeing things daily. I have a ton of pictures and videos! Problem is we are dealing with ufos they dont show up when I try,2021-09-07,0,0.016666666666666666,"(-71.59809875, 42.66757584)",-71.59809875,42.66757584,POINT (-71.59809875 42.66757584)
2021-09-03 23:45:00,Mount Hope,WV,Light,30-60 seconds,Light Moving Rapidly and Ascending,2021-10-19,0,0.5,"(-81.16593933, 37.89356613)",-81.16593933,37.89356613,POINT (-81.16593933 37.89356613)
2021-09-03 21:50:00,Hanover,PA,Light,20 minutes,Flickering light in a stationary position for close to 20 minutes in the Western sky from PA.,2021-09-07,0,20.0,"(-76.97715759, 39.8126297)",-76.97715759,39.8126297,POINT (-76.97715759 39.8126297)
2021-09-03 21:44:00,Sterling,PA,Other,5 minutes,3 level yellow lights with 3 smaller blinking red lights below. back of triangle? tk 5 min to travel length of finger.15 mi. away.,2021-10-19,0,5.0,"(-75.39002991, 41.34117889)",-75.39002991,41.34117889,POINT (-75.39002991 41.34117889)
