Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
9/10/21 00:30,Brunswick,GA,USA,Cigar,10:00,Friday Morning: 9/10/2021 Time: 00:30 I had just gotten off work and was driving north on highway 17 in Brunswick. I noticed a bright,10/19/21,
9/9/21 21:17,Marietta,GA,USA,Fireball,2 minutes,Saw pulsing orb in sky followed by plasma/fireballs above my street,10/19/21,
9/9/21 20:00,Seguin,TX,USA,Teardrop,10 minutes,Driving in my car I saw a black object floating in the sky over a field. I pulled over to get a better look. It was moving but not v,10/19/21,
9/9/21 00:45,North Lima,OH,USA,Triangle,5-10 minutes,"Triangular object w/ green lights hovering, keeping pace w/vehicle at 65mph.",10/19/21,
9/9/21 00:01,Unkone,WA,USA,Other,Seconds,I have pics of a craft that is miles big and a craft come out of the bigger one a clear clean pictur,3/4/22,Yes
9/8/21 23:00,Montreal (Canada),QC,Canada,Triangle,30 seconds,Low hovering triangle multiple lights over subhurban area,11/15/21,
9/8/21 22:20,Federal Way,WA,USA,Teardrop,5 seconds,was driving to work i looked up and saw 3 teardrop shaped crafts that were rockets a few mile apart from each other in guessing I drove,10/19/21,
9/8/21 20:48,York,PA,USA,Diamond,1 minute,Diamond-shaped object with lights seen flying over Interstate 83.,10/19/21,
9/8/21 19:13,Leonardo,NJ,USA,Cigar,Seconds,Black tic tac shaped object observed in photo of sky at sunset,10/19/21,
9/8/21 17:30,Duluth,MN,USA,Other,5 minutes,We stopped at a wayside rest on the Scenic Highway heading back towards Duluth. We were sitting on top of this cliff watching the lake,10/19/21,
9/8/21 16:30,Duluth,MN,USA,Other,5 minutes,We stopped at a wayside rest on the Scenic Highway heading back towards Duluth. We were sitting on top of this cliff watching the lake,10/19/21,
9/8/21 10:01,Oxford,CT,USA,Oval,34 seconds,3 Bright Ovals scanned front to back and disappeared.,10/19/21,
9/8/21 09:18,Pine City,NY,USA,,,MADAR Node 82,10/19/21,
